Station_Name,Index_No,Basin_Office,Types_of_Station,District,Latitude,Longitude,Elemeter,AgEstdDate,NMS_EstdDate,geometry
PHU GAUN,834.0,N,PRECIPITATION,Manang,28.766667,84.283333,4100,,2018-07-04,POINT (84.283333 28.766667)
POKHARA REG.OFF.,866.0,N,CLIMATOLOGY,Kaski,28.216667,83.983333,827,,2018-03-07,POINT (83.983333 28.216667)
RAMPUR,902.0,N,AGROMETEOROLOGY,Chitawan,27.616667,84.416667,256,,1967-01-03,POINT (84.416667 27.616667)
JHAWANI,903.0,N,PRECIPITATION,Chitawan,27.583333,84.533333,270,1957-02-01,1971-12-03,POINT (84.533333 27.583333)
CHISAPANI GADHI,904.0,B,PRECIPITATION,Makwanpur,27.55,85.133333,1706,1956-05-01,1971-12-03,POINT (85.133333 27.55)
DAMAN,905.0,B,CLIMATOLOGY,Makwanpur,27.6,85.083333,2314,1965-09-01,1971-05-03,POINT (85.083333 27.6)
HETAUNDA N.F.I.,906.0,N,CLIMATOLOGY,Makwanpur,27.416667,85.05,474,,1966-08-03,POINT (85.05 27.416667)
AMLEKHGANJ,907.0,B,PRECIPITATION,Bara,27.283333,85.0,396,1955-06-01,1971-12-03,POINT (85 27.283333)
SIMARA AIRPORT,909.0,B,AERONATICAL,Bara,27.166667,84.983333,130,,1965-09-03,POINT (84.983333 27.166667)
NIJGADH,910.0,B,PRECIPITATION,Bara,27.183333,85.166667,244,1955-06-01,1971-12-03,POINT (85.166667 27.183333)
PARWANIPUR,911.0,B,AGROMETEOROLOGY,Bara,27.066667,84.966667,115,,1967-01-03,POINT (84.966667 27.066667)
RAMOLI BAIRIYA,912.0,B,PRECIPITATION,Routahat,27.016667,85.383333,152,1956-01-01,1971-12-03,POINT (85.383333 27.016667)
MARKHU GAUN,915.0,B,PRECIPITATION,Makwanpur,27.616667,85.15,1530,,1971-12-03,POINT (85.15 27.616667)
BIRGANJ,918.0,B,PRECIPITATION,Parsa,27.0,84.866667,91,,1974-02-03,POINT (84.866667 27)
MAKWANPUR GADHI,919.0,B,PRECIPITATION,Makwanpur,27.416667,85.166667,1030,,1974-12-03,POINT (85.166667 27.416667)
BELUWA(MANAHARI),920.0,N,PRECIPITATION,Makwanpur,27.55,84.816667,274,,1974-12-03,POINT (84.816667 27.55)
KALAIYA,921.0,B,PRECIPITATION,Bara,27.033333,85.0,140,,1976-02-03,POINT (85 27.033333)
GAUR,922.0,B,CLIMATOLOGY,Routahat,26.766667,85.3,90,,1983-03-03,POINT (85.3 26.766667)
KOLBHI,923.0,B,PRECIPITATION,Bara,26.916667,85.016667,109,1992-04-01,,POINT (85.016667 26.916667)
CHYUNTAHA,924.0,B,PRECIPITATION,Bara,26.95,85.133333,86,1992-04-01,,POINT (85.133333 26.95)
RAJAIYA,925.0,N,PRECIPITATION,Makwanpur,27.433333,84.983333,332,,1991-06-03,POINT (84.983333 27.433333)
BHARATPUR,927.0,N,CLIMATOLOGY,Chitawan,27.666667,84.433333,205,,2018-01-03,POINT (84.433333 27.666667)
TIMURE,1001.0,N,CLIMATOLOGY,Rasuwa,28.283333,85.383333,1900,1956-06-01,1971-11-03,POINT (85.383333 28.283333)
ARU GHAT D.BAZAR,1002.0,N,PRECIPITATION,Dhading,28.05,84.816667,518,1957-06-01,1971-11-03,POINT (84.816667 28.05)
NUWAKOT,1004.0,N,CLIMATOLOGY,Nuwakot,27.916667,85.166667,1003,1956-05-01,1971-11-03,POINT (85.166667 27.916667)
DHADING,1005.0,N,PRECIPITATION,Dhading,27.866667,84.933333,1420,1956-05-01,1971-11-03,POINT (84.933333 27.866667)
GUMTHANG,1006.0,K,PRECIPITATION,Sindhupalchok,27.866667,85.866667,2000,1947-07-01,1971-10-03,POINT (85.866667 27.866667)
KAKANI,1007.0,B,AGROMETEOROLOGY,Nuwakot,27.8,85.25,2064,1962-01-01,1971-12-03,POINT (85.25 27.8)
NAWALPUR,1008.0,K,PRECIPITATION,Sindhupalchok,27.8,85.616667,1592,1959-06-01,1971-10-03,POINT (85.616667 27.8)
CHAUTARA,1009.0,K,PRECIPITATION,Sindhupalchok,27.783333,85.716667,1660,1947-07-01,1971-10-03,POINT (85.716667 27.783333)
THANKOT,1015.0,B,PRECIPITATION,Kathmandu,27.683333,85.2,1630,,1966-09-03,POINT (85.2 27.683333)
SARMATHANG,1016.0,K,PRECIPITATION,Sindhupalchok,27.95,85.6,2625,,1970-11-03,POINT (85.6 27.95)
DUBACHAUR,1017.0,K,PRECIPITATION,Sindhupalchok,27.866667,85.566667,1550,,1970-11-03,POINT (85.566667 27.866667)
BAUNEPATI,1018.0,K,PRECIPITATION,Sindhupalchok,27.783333,85.566667,845,,1970-11-03,POINT (85.566667 27.783333)
MANDAN,1020.0,K,PRECIPITATION,Kabhre,27.7,85.65,1365,1947-07-01,1971-10-03,POINT (85.65 27.7)
GODAVARI,1022.0,B,CLIMATOLOGY,Lalitpur,27.583333,85.4,1400,1952-05-01,1972-03-03,POINT (85.4 27.583333)
DOLAL GHAT,1023.0,K,PRECIPITATION,Kabhre,27.633333,85.716667,710,1947-07-01,1971-10-03,POINT (85.716667 27.633333)
DHULIKHEL,1024.0,K,CLIMATOLOGY,Kabhre,27.616667,85.55,1552,1947-06-01,1971-11-03,POINT (85.55 27.616667)
DHAP,1025.0,K,PRECIPITATION,Sindhupalchok,27.916667,85.633333,1240,,1976-12-03,POINT (85.633333 27.916667)
BAHRABISE,1027.0,K,CLIMATOLOGY,Sindhupalchok,27.783333,85.9,1220,1965-12-01,1973-09-03,POINT (85.9 27.783333)
PACHUWAR GHAT,1028.0,K,PRECIPITATION,Kabhre,27.566667,85.75,633,1966-01-01,,POINT (85.75 27.566667)
KHUMALTAR,1029.0,B,AGROMETEOROLOGY,Lalitpur,27.666667,85.333333,1350,,1967-05-03,POINT (85.333333 27.666667)
KATHMANDU AIRPORT,1030.0,B,AERONATICAL,Kathmandu,27.7,85.366667,1337,1949-01-01,1967-09-03,POINT (85.366667 27.7)
SANKHU,1035.0,B,PRECIPITATION,Kathmandu,27.75,85.483333,1449,,1970-09-03,POINT (85.483333 27.75)
PANCHKHAL,1036.0,K,CLIMATOLOGY,Kabhre,27.683333,85.633333,865,,1970-11-03,POINT (85.633333 27.683333)
DHUNIBESI,1038.0,B,CLIMATOLOGY,Dhading,27.716667,85.183333,1085,,1971-04-03,POINT (85.183333 27.716667)
PANIPOKHARI(KATHMANDU),1039.0,B,CLIMATOLOGY,Kathmandu,27.733333,85.333333,1335,1971-04-01,1973-07-03,POINT (85.333333 27.733333)
NAGARKOT,1043.0,B,CLIMATOLOGY,Bhaktapur,27.7,85.516667,2163,1971-05-01,1972-06-03,POINT (85.516667 27.7)
KHOPASI(PANAUTI),1049.0,K,PRECIPITATION,Kabhre,27.583333,85.516667,1517,1971-06-01,1972-06-03,POINT (85.516667 27.583333)
BHAKTAPUR,1052.0,B,PRECIPITATION,Bhaktapur,27.666667,85.416667,1330,1971-05-01,1972-06-03,POINT (85.416667 27.666667)
THAMACHIT,1054.0,N,PRECIPITATION,Rasuwa,28.166667,85.316667,1847,,1971-11-03,POINT (85.316667 28.166667)
DHUNCHE,1055.0,N,CLIMATOLOGY,Rasuwa,28.1,85.3,1982,,1971-11-03,POINT (85.3 28.1)
PANSAYAKHOLA,1057.0,N,PRECIPITATION,Nuwakot,28.016667,85.116667,1240,,1973-01-03,POINT (85.116667 28.016667)
TARKE GHYANG,1058.0,K,PRECIPITATION,Sindhupalchok,28.0,85.55,2480,,1974-01-03,POINT (85.55 28)
CHANGU HARAYAN,1059.0,B,CLIMATOLOGY,Bhaktapur,27.7,85.416667,1543,,1974-05-03,POINT (85.416667 27.7)
CHAPA GAUN,1060.0,B,PRECIPITATION,Lalitpur,27.6,85.333333,1448,,1975-10-03,POINT (85.333333 27.6)
SANGACHOK,1062.0,K,PRECIPITATION,Sindhupalchok,27.7,85.716667,1327,,1979-05-03,POINT (85.716667 27.7)
THOKARPA,1063.0,K,PRECIPITATION,Sindhupalchok,27.7,85.783333,1750,,1979-07-03,POINT (85.783333 27.7)
BUDDHANILAKANTHA,1071.0,B,CLIMATOLOGY,Kathmandu,27.783333,85.366667,1350,,1987-02-03,POINT (85.366667 27.783333)
KHOKANA,1073.0,B,CLIMATOLOGY,Lalitpur,27.633333,85.283333,1212,,1991-08-03,POINT (85.283333 27.633333)
SUNDARIJAL,1074.0,B,PRECIPITATION,Kathmandu,27.766667,85.416667,1490,,1993-11-03,POINT (85.416667 27.766667)
LELE,1075.0,B,PRECIPITATION,Lalitpur,27.583333,85.283333,1590,,1994-08-03,POINT (85.283333 27.583333)
NAIKAP,1076.0,B,PRECIPITATION,Kathmandu,27.683333,85.25,1520,,1996-06-03,POINT (85.25 27.683333)
SUNDARIJAL,1077.0,B,PRECIPITATION,Kathmandu,27.75,85.416667,1360,,1995-06-03,POINT (85.416667 27.75)
DHAP,1078.0,K,PRECIPITATION,Sindhupalchok,27.9,85.633333,1310,,1997-03-03,POINT (85.633333 27.9)
NAGARJUN,1079.0,B,PRECIPITATION,Kathmandu,27.75,85.25,1690,,1997-06-03,POINT (85.25 27.75)
TIKATHALI,1080.0,B,PRECIPITATION,Lalitpur,27.65,85.35,1341,,2000-11-03,POINT (85.35 27.65)
JETPURPHEDHI,1081.0,B,PRECIPITATION,Kathmandu,27.783333,85.283333,1320,,2000-05-03,POINT (85.283333 27.783333)
NANGKHEL,1082.0,B,PRECIPITATION,Bhaktapur,27.65,85.466667,1428,,2018-04-04,POINT (85.466667 27.65)
NAGDAHA,1101.0,K,PRECIPITATION,Dolkha,27.683333,86.1,850,,1977-01-03,POINT (86.1 27.683333)
CHARIKOT,1102.0,K,PRECIPITATION,Dolkha,27.666667,86.05,1940,1959-06-01,1971-10-03,POINT (86.05 27.666667)
JIRI,1103.0,K,AGROMETEOROLOGY,Dolkha,27.633333,86.233333,2003,1961-08-01,1965-09-03,POINT (86.233333 27.633333)
MELUNG,1104.0,K,PRECIPITATION,Dolkha,27.516667,86.05,1536,1959-06-01,,POINT (86.05 27.516667)
SINDHULI GADHI,1107.0,K,CLIMATOLOGY,Sindhuli,27.283333,85.966667,1463,1955-06-01,1971-10-03,POINT (85.966667 27.283333)
BAHUN TILPUNG,1108.0,K,PRECIPITATION,Sindhuli,27.183333,86.166667,1417,1958-05-01,1972-02-03,POINT (86.166667 27.183333)
PATTHARKOT(EAST),1109.0,B,PRECIPITATION,Sarlahi,27.083333,85.666667,275,1956-01-01,1972-01-03,POINT (85.666667 27.083333)
TULSI,1110.0,B,PRECIPITATION,Dhanusa,27.033333,85.916667,457,1955-12-01,1973-03-03,POINT (85.916667 27.033333)
JANAKPUR AIRPORT,1111.0,B,CLIMATOLOGY,Dhanusa,26.716667,85.966667,90,,1968-06-03,POINT (85.966667 26.716667)
CHISAPANI BAZAR,1112.0,B,PRECIPITATION,Dhanusa,26.916667,86.166667,165,1955-07-01,1972-01-03,POINT (86.166667 26.916667)
NEPALTHOK,1115.0,K,PRECIPITATION,Sindhuli,27.45,85.816667,1098,1948-04-01,1971-10-03,POINT (85.816667 27.45)
HARIHARPUR GADHI VALLEY,1117.0,B,PRECIPITATION,Sindhuli,27.333333,85.5,250,,1978-03-03,POINT (85.5 27.333333)
MANUSMARA,1118.0,B,CLIMATOLOGY,Sarlahi,26.883333,85.416667,100,,1979-02-03,POINT (85.416667 26.883333)
GAUSALA,1119.0,B,PRECIPITATION,Mahottari,26.883333,85.783333,200,,1979-02-03,POINT (85.783333 26.883333)
MALANGWA,1120.0,B,PRECIPITATION,Sarlahi,26.866667,85.566667,150,,1983-03-03,POINT (85.566667 26.866667)
KARMAIYA,1121.0,B,CLIMATOLOGY,Sarlahi,27.116667,85.466667,131,,1983-08-03,POINT (85.466667 27.116667)
JALESORE,1122.0,B,CLIMATOLOGY,Mahottari,26.65,85.783333,172,,1989-03-03,POINT (85.783333 26.65)
MANTHALI,1123.0,K,PRECIPITATION,Ramechhap,27.466667,86.083333,495,,1992-03-03,POINT (86.083333 27.466667)
KABRE,1124.0,K,AGROMETEOROLOGY,Dolkha,27.633333,86.133333,1755,,2007-05-17,POINT (86.133333 27.633333)
CHAURIKHARK,1202.0,K,PRECIPITATION,Solukhumbu,27.7,86.716667,2619,1948-04-01,1972-11-03,POINT (86.716667 27.7)
PAKARNAS,1203.0,K,PRECIPITATION,Solukhumbu,27.433333,86.566667,1982,1947-12-01,1973-04-03,POINT (86.566667 27.433333)
AISEALUKHARK,1204.0,K,PRECIPITATION,Khotang,27.35,86.75,2143,1948-05-01,1973-06-03,POINT (86.75 27.35)
OKHALDHUNGA,1206.0,K,SYNOPTIC,Okhaldhunga,27.316667,86.5,1720,1947-12-01,1972-05-03,POINT (86.5 27.316667)
MANE BHANJYANG,1207.0,K,PRECIPITATION,Okhaldhunga,27.483333,86.416667,1576,1947-11-01,1973-04-03,POINT (86.416667 27.483333)
KURULE GHAT,1210.0,K,PRECIPITATION,Khotang,27.133333,86.433333,497,1947-12-01,1972-01-03,POINT (86.433333 27.133333)
KHOTANG BAZAR,1211.0,K,PRECIPITATION,Khotang,27.033333,86.833333,1295,1959-05-01,1959-11-03,POINT (86.833333 27.033333)
PHATEPUR,1212.0,K,CLIMATOLOGY,Saptari,26.733333,86.933333,100,,1976-07-03,POINT (86.933333 26.733333)
UDAYAPUR GADHI,1213.0,B,CLIMATOLOGY,Udayapur,26.933333,86.516667,1175,1947-07-01,1972-02-03,POINT (86.516667 26.933333)
LAHAN,1215.0,B,AGROMETEOROLOGY,Siraha,26.733333,86.433333,138,1955-11-01,1972-01-03,POINT (86.433333 26.733333)
SIRAHA,1216.0,B,PRECIPITATION,Siraha,26.65,86.216667,102,1947-06-01,1972-02-03,POINT (86.216667 26.65)
SALLERI,1219.0,K,PRECIPITATION,Solukhumbu,27.5,86.583333,2378,1947-12-01,1973-04-03,POINT (86.583333 27.5)
DIKTEL,1222.0,K,PRECIPITATION,Khotang,27.216667,86.8,1623,,1973-06-03,POINT (86.8 27.216667)
RAJBIRAJ,1223.0,K,CLIMATOLOGY,Saptari,26.55,86.75,91,,1971-12-03,POINT (86.75 26.55)
SIRWA,1224.0,K,PRECIPITATION,Solukhumbu,27.55,86.383333,1662,1959-05-01,1973-03-03,POINT (86.383333 27.55)
BARMAJHIYA,1226.0,K,PRECIPITATION,Saptari,26.6,86.9,85,,1975-09-03,POINT (86.9 26.6)
GAIGHAT,1227.0,K,PRECIPITATION,Udayapur,26.783333,86.716667,152,,,POINT (86.716667 26.783333)
NUM,1301.0,K,CLIMATOLOGY,Sankhuwasabha,27.55,87.283333,1497,1959-06-01,1973-01-03,POINT (87.283333 27.55)
CHAINPUR (EAST),1303.0,K,CLIMATOLOGY,Sankhuwasabha,27.283333,87.333333,1329,1947-07-01,1972-12-03,POINT (87.333333 27.283333)
PAKHRIBAS,1304.0,K,AGROMETEOROLOGY,Dhankuta,27.05,87.283333,1680,1976-01-01,,POINT (87.283333 27.05)
LEGUWA GHAT,1305.0,K,PRECIPITATION,Dhankuta,27.133333,87.283333,410,1947-07-01,1972-12-03,POINT (87.283333 27.133333)
MUNGA,1306.0,K,PRECIPITATION,Dhankuta,27.033333,87.233333,1317,1947-07-01,1972-09-03,POINT (87.233333 27.033333)
DHANKUTA,1307.0,K,SYNOPTIC,Dhankuta,26.983333,87.35,1210,1947-06-01,1971-02-03,POINT (87.35 26.983333)
MUL GHAT,1308.0,K,PRECIPITATION,Dhankuta,26.933333,87.333333,365,1947-06-01,1972-09-03,POINT (87.333333 26.933333)
TRIBENI,1309.0,K,PRECIPITATION,Dhankuta,26.933333,87.15,143,1948-05-01,1972-12-03,POINT (87.15 26.933333)
DHARAN BAZAR,1311.0,K,CLIMATOLOGY,Sunsari,26.816667,87.283333,444,1947-06-01,1972-09-03,POINT (87.283333 26.816667)
HARAINCHA,1312.0,K,PRECIPITATION,Morang,26.616667,87.383333,152,1956-04-01,1972-09-03,POINT (87.383333 26.616667)
TERHATHUM,1314.0,K,CLIMATOLOGY,Terhathum,27.133333,87.55,1633,,1966-05-03,POINT (87.55 27.133333)
CHATARA,1316.0,K,PRECIPITATION,Sunsari,26.816667,87.166667,183,1948-06-01,1972-09-03,POINT (87.166667 26.816667)
CHEPUWA,1317.0,K,PRECIPITATION,Sankhuwasabha,27.766667,87.416667,2590,1959-06-01,1973-11-03,POINT (87.416667 27.766667)
BIRATNAGAR AIRPOART,1319.0,K,AERONATICAL,Morang,26.483333,87.266667,72,,1968-07-03,POINT (87.266667 26.483333)
TARAHARA,1320.0,K,AGROMETEOROLOGY,Sunsari,26.7,87.266667,200,,1968-07-03,POINT (87.266667 26.7)
TUMLINGTAR,1321.0,K,PRECIPITATION,Sankhuwasabha,27.283333,87.216667,303,,1977-05-03,POINT (87.216667 27.283333)
MACHUWAGHAT,1322.0,K,PRECIPITATION,Dhankuta,26.966667,87.166667,158,1948-05-01,1972-12-03,POINT (87.166667 26.966667)
DINGLA,1325.0,K,PRECIPITATION,Bhojpur,27.366667,87.15,1190,1948-05-01,1973-01-03,POINT (87.15 27.366667)
LETANG,1326.0,K,PRECIPITATION,Morang,26.733333,87.5,250,,2018-02-03,POINT (87.5 26.733333)
KHADBARI,1327.0,K,CLIMATOLOGY,Sankhuwasabha,27.35,87.2,1170,,2018-01-09,POINT (87.2 27.35)
LUNGTHUNG,1403.0,K,PRECIPITATION,Taplejung,27.55,87.783333,1780,1947-07-01,1973-11-03,POINT (87.783333 27.55)
TAPLEJUNG,1405.0,K,SYNOPTIC,Taplejung,27.35,87.666667,1732,1947-07-01,1978-05-03,POINT (87.666667 27.35)
MEMENG JAGAT,1406.0,K,PRECIPITATION,Panchther,27.2,87.933333,1830,1947-07-01,1972-12-03,POINT (87.933333 27.2)
ILAM TEA ESTATE,1407.0,K,AGROMETEOROLOGY,Ilam,26.916667,87.9,1300,1956-03-01,1966-06-03,POINT (87.9 26.916667)
DAMAK,1408.0,K,PRECIPITATION,Jhapa,26.666667,87.7,163,1956-03-01,1972-01-03,POINT (87.7 26.666667)
ANARMANI BIRTA,1409.0,K,PRECIPITATION,Jhapa,26.633333,87.983333,122,1956-03-01,1972-01-03,POINT (87.983333 26.633333)
HIMALI GAUN,1410.0,K,PRECIPITATION,Ilam,26.883333,88.033333,1654,,1968-02-03,POINT (88.033333 26.883333)
CHANDRA GADHI,1412.0,K,PRECIPITATION,Jhapa,26.566667,88.05,120,,1971-02-03,POINT (88.05 26.566667)
SANISCHARE,1415.0,K,PRECIPITATION,Jhapa,26.683333,87.966667,168,,1972-01-03,POINT (87.966667 26.683333)
KANYAM TEA ESTATE,1416.0,K,CLIMATOLOGY,Ilam,26.866667,88.066667,1678,,1972-04-03,POINT (88.066667 26.866667)
PHIDIM (PANCHTHER),1419.0,K,CLIMATOLOGY,Panchther,27.15,87.75,1205,,1978-07-03,POINT (87.75 27.15)
DOVAN,1420.0,K,PRECIPITATION,Taplejung,27.35,87.6,763,1947-07-01,1972-12-03,POINT (87.6 27.35)
GAIDA (KANKAI),1421.0,K,AGROMETEOROLOGY,Jhapa,26.583333,87.9,143,,1984-02-03,POINT (87.9 26.583333)
KECHANA,1422.0,K,CLIMATOLOGY,Jhapa,26.4,88.016667,60,,1999-02-03,POINT (88.016667 26.4)
