River,Station,Latitude,Longitude,NextStation,Raw_1962(m³/s),Raw_1963(m³/s),Raw_1964(m³/s),Raw_1965(m³/s),Raw_1966(m³/s),Raw_1967(m³/s),Raw_1968(m³/s),Raw_1969(m³/s),Raw_1970(m³/s),Raw_1971(m³/s),Raw_1972(m³/s),Raw_1973(m³/s),Raw_1974(m³/s),Raw_1975(m³/s),Raw_1976(m³/s),Raw_1977(m³/s),Raw_1978(m³/s),Raw_1979(m³/s),Raw_1980(m³/s),Raw_1981(m³/s),Raw_1982(m³/s),Raw_1983(m³/s),Raw_1984(m³/s),Raw_1985(m³/s),Raw_1986(m³/s),Raw_1987(m³/s),Raw_1988(m³/s),Raw_1989(m³/s),Raw_1990(m³/s),Raw_1991(m³/s),Raw_1992(m³/s),Raw_1993(m³/s),Norm_1962(m³/s),Norm_1963(m³/s),Norm_1964(m³/s),Norm_1965(m³/s),Norm_1966(m³/s),Norm_1967(m³/s),Norm_1968(m³/s),Norm_1969(m³/s),Norm_1970(m³/s),Norm_1971(m³/s),Norm_1972(m³/s),Norm_1973(m³/s),Norm_1974(m³/s),Norm_1975(m³/s),Norm_1976(m³/s),Norm_1977(m³/s),Norm_1978(m³/s),Norm_1979(m³/s),Norm_1980(m³/s),Norm_1981(m³/s),Norm_1982(m³/s),Norm_1983(m³/s),Norm_1984(m³/s),Norm_1985(m³/s),Norm_1986(m³/s),Norm_1987(m³/s),Norm_1988(m³/s),Norm_1989(m³/s),Norm_1990(m³/s),Norm_1991(m³/s),Norm_1992(m³/s),Norm_1993(m³/s)
ADHI KHOLA,DUMRICHAUR ANDHIMUHAN,27.97,83.59,2549300,31.80106100795756,31.80106100795756,31.80106100795756,31.80106100795756,31.80106100795756,31.80106100795756,31.80106100795756,31.80106100795756,31.80106100795756,31.80106100795756,31.80106100795756,31.80106100795756,31.80106100795756,31.80106100795756,31.80106100795756,31.80106100795756,31.80106100795756,26.71916579139444,25.39793153652214,30.135278514588855,31.272775176686302,25.421750663129973,32.82010582010582,29.194743026008936,32.79266907589055,27.09770886368896,32.70216434075494,39.94083324164741,39.94083324164741,39.94083324164741,39.94083324164741,39.94083324164741,-0.2860505415340064,-0.2860505415340064,-0.2860505415340064,-0.2860505415340064,-0.2860505415340064,-0.2860505415340064,-0.2860505415340064,-0.2860505415340064,-0.2860505415340064,-0.2860505415340064,-0.2860505415340064,-0.2860505415340064,-0.2860505415340064,-0.2860505415340064,-0.2860505415340064,-0.2860505415340064,-0.2860505415340064,-0.2969333427814675,-0.2997627458258768,-0.2896177893862933,-0.2871818575998782,-0.2997117375288312,-0.2838682725811322,-0.2916319318178489,-0.2839270279512151,-0.2961226985544953,-0.2841208424638058,-0.268619343202696,-0.268619343202696,-0.268619343202696,-0.268619343202696,-0.268619343202696
ARUN RIVER,TURKEGHAT,27.33,87.19,2846800,391.75,391.75,391.75,391.75,391.75,391.75,391.75,391.75,391.75,391.75,391.75,391.75,391.75,391.75,391.75,431.6666666666667,450.5,406.1666666666667,526.9166666666666,475.1666666666667,360.5833333333333,412.225,413.0833333333333,424.3333333333333,334.9166666666667,334.9166666666667,334.9166666666667,334.9166666666667,334.9166666666667,334.9166666666667,334.9166666666667,334.9166666666667,0.4847746320188917,0.4847746320188917,0.4847746320188917,0.4847746320188917,0.4847746320188917,0.4847746320188917,0.4847746320188917,0.4847746320188917,0.4847746320188917,0.4847746320188917,0.4847746320188917,0.4847746320188917,0.4847746320188917,0.4847746320188917,0.4847746320188917,0.5702555660567797,0.6105868627009606,0.5156477042288179,0.7742319911200489,0.6634101538809498,0.4180316897847162,0.5286215328395788,0.5304596406069906,0.5545513443546207,0.3630669138271599,0.3630669138271599,0.3630669138271599,0.3630669138271599,0.3630669138271599,0.3630669138271599,0.3630669138271599,0.3630669138271599
BAGHMATI NADI,SUNDARIJAL,27.78,85.43,2846800,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.5827956989247312,0.9533333333333333,0.8300000000000001,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3529039814753522,-0.3521104807717505,-0.3523745972276504
BALEPHI KHOLA,JALBIRE,27.81,85.77,2550400,53.254641909814325,53.254641909814325,53.254641909814325,53.254641909814325,53.254641909814325,53.254641909814325,53.254641909814325,53.254641909814325,53.254641909814325,53.254641909814325,53.254641909814325,53.254641909814325,53.254641909814325,53.254641909814325,53.254641909814325,53.254641909814325,53.254641909814325,40.3395225464191,41.53174603174603,45.824933687002655,48.41379310344828,73.62864721485411,55.767195767195766,74.63129973474801,67.0185676392573,55.80862413869749,57.198412698412696,56.31373373275405,55.81548905221196,55.81548905221196,55.81548905221196,55.81548905221196,-0.2401080246083753,-0.2401080246083753,-0.2401080246083753,-0.2401080246083753,-0.2401080246083753,-0.2401080246083753,-0.2401080246083753,-0.2401080246083753,-0.2401080246083753,-0.2401080246083753,-0.2401080246083753,-0.2401080246083753,-0.2401080246083753,-0.2401080246083753,-0.2401080246083753,-0.2401080246083753,-0.2401080246083753,-0.2677655561255486,-0.265212427680263,-0.2560186316692918,-0.2504746286377122,-0.1964774023895606,-0.2347274287699753,-0.1943302372810185,-0.2106327871792086,-0.234638710543045,-0.2316624994983779,-0.2335570260363698,-0.2346240094352544,-0.2346240094352544,-0.2346240094352544,-0.2346240094352544
BHERI NADI,JAMU,28.76,81.35,2548400,375.4666666666667,375.4666666666667,342.89166666666665,216.775,239.71666666666667,291.675,312.78333333333336,308.94916666666666,320.4166666666667,428.075,276.59166666666664,377.9666666666667,236.6833333333333,368.76666666666665,245.50833333333333,262.40833333333336,298.006,298.006,298.006,298.006,298.006,298.006,298.006,298.006,298.006,298.006,298.006,298.006,298.006,284.6333333333333,246.39166666666665,228.4088333333333,0.449904121557507,0.449904121557507,0.3801452549282578,0.1100683330640833,0.1591975630027692,0.2704655429038613,0.3156687174170074,0.3074579078656855,0.3320153845524365,0.5625640665640178,0.2381648141755571,0.4552578335014248,0.1527017258441489,0.4355561735478072,0.1716003290061788,0.2077914217470633,0.2840232830306387,0.2840232830306387,0.2840232830306387,0.2840232830306387,0.2840232830306387,0.2840232830306387,0.2840232830306387,0.2840232830306387,0.2840232830306387,0.2840232830306387,0.2840232830306387,0.2840232830306387,0.2840232830306387,0.2553859209284927,0.1734919738930298,0.1349820100521697
BHOTEKOSI RIVER,BARABISE,27.79,85.89,2550400,73.875,73.875,73.875,73.875,76.53333333333333,66.31666666666666,72.39166666666667,69.25,69.56666666666666,79.99166666666666,74.03333333333333,84.425,83.56666666666666,81.625,74.51666666666667,73.94166666666666,80.95,72.825,86.76666666666667,78.94083333333334,84.575,92.40833333333336,95.85,85.40833333333335,85.40833333333335,85.40833333333335,85.40833333333335,85.40833333333335,85.40833333333335,85.40833333333335,85.40833333333335,85.40833333333335,-0.1959498416502594,-0.1959498416502594,-0.1959498416502594,-0.1959498416502594,-0.1902570612832268,-0.212135897427371,-0.1991263774036507,-0.2058542087465074,-0.2051760719002778,-0.1828510930941405,-0.1956107732271446,-0.1733571772469262,-0.175195285014338,-0.1793533346241142,-0.1945757222513205,-0.1958070759984216,-0.180798836848972,-0.1981984006667049,-0.1683425337261232,-0.1851014366812339,-0.1730359545302912,-0.1562609904393486,-0.1488907136632218,-0.1712513838823185,-0.1712513838823185,-0.1712513838823185,-0.1712513838823185,-0.1712513838823185,-0.1712513838823185,-0.1712513838823185,-0.1712513838823185,-0.1712513838823185
BUDHI GANDAKI NADI,ARUGHAT,28.04,84.82,2549500,158.81666666666666,158.81666666666666,158.81666666666666,160.99166666666667,160.51666666666668,126.68333333333334,148.625,134.41666666666666,150.18333333333334,154.18333333333334,152.48333333333332,181.00833333333333,151.89166666666668,179.5666666666667,151.86666666666667,163.57500000000002,176.8083333333333,155.68333333333334,175.74166666666667,174.50833333333333,161.93333333333334,155.89166666666668,166.01666666666668,160.85,160.85,160.85,160.85,160.85,160.85,160.85,160.85,160.85,-0.0140485555024115,-0.0140485555024115,-0.0140485555024115,-0.009390826111203,-0.0104080313805474,-0.0828615996882353,-0.0358738545271165,-0.0663007840750495,-0.0325367074154077,-0.0239707683051392,-0.0276112924270033,0.033474560853099,-0.0288783375870639,0.0303872536321063,-0.028931874706503,-0.0038586571024879,0.024480324787317,-0.0207585411387885,0.0221960743579121,0.0195549097989126,-0.0073742612789939,-0.0203123984767954,0.0013701348960717,-0.0096942031213583,-0.0096942031213583,-0.0096942031213583,-0.0096942031213583,-0.0096942031213583,-0.0096942031213583,-0.0096942031213583,-0.0096942031213583,-0.0096942031213583
CHEPE KHOLA,GARAM BESI,28.06,84.49,2549250,22.588859416445622,22.588859416445622,22.588859416445622,22.588859416445622,22.588859416445622,22.588859416445622,22.588859416445622,22.588859416445622,22.588859416445622,22.588859416445622,22.588859416445622,22.588859416445622,22.588859416445622,22.588859416445622,22.588859416445622,22.588859416445622,22.588859416445622,19.19628647214854,19.88095238095238,18.05835543766578,19.140583554376654,18.885941644562333,23.058201058201057,21.411140583554378,17.65884054717868,21.226807486379155,25.433583591687103,24.478796876299576,22.15784196913777,19.118054170729287,16.763713277794306,16.763713277794306,-0.3057783310101089,-0.3057783310101089,-0.3057783310101089,-0.3057783310101089,-0.3057783310101089,-0.3057783310101089,-0.3057783310101089,-0.3057783310101089,-0.3057783310101089,-0.3057783310101089,-0.3057783310101089,-0.3057783310101089,-0.3057783310101089,-0.3057783310101089,-0.3057783310101089,-0.3057783310101089,-0.3057783310101089,-0.3130434743271072,-0.3115772727056846,-0.3154803363153733,-0.3131627612775817,-0.3137080730511798,-0.3047732430288112,-0.3083003979629997,-0.3163358913717628,-0.3086951444846021,-0.2996863974924521,-0.3017310587092778,-0.3067013483123845,-0.3132110076097106,-0.3182527927931347,-0.3182527927931347
DUDH KOSHI NADI,RABUWAR BAZAR,27.27,86.66,2550450,204.275,204.275,204.275,213.36666666666667,233.03333333333333,170.83333333333334,215.21666666666667,204.23333333333332,260.6083333333333,278.225,206.08333333333331,222.08333333333331,232.5,242.0666666666667,206.54166666666663,224.0,256.05833333333334,207.5666666666667,207.675,208.88333333333333,196.45833333333331,213.75,234.76666666666665,246.74166666666667,246.74166666666667,246.74166666666667,246.74166666666667,246.74166666666667,246.74166666666667,246.74166666666667,246.74166666666667,246.74166666666667,0.0832997733444941,0.0832997733444941,0.0832997733444941,0.1027694391138753,0.1448853064060289,0.0116849532413534,0.1067311859523745,0.0832105448120955,0.2039367491474424,0.2416625726455834,0.0871722916505947,0.1214360480916688,0.1437431811913264,0.1642300522300519,0.0881538055069797,0.1255405605820058,0.194192993409512,0.0903488274039859,0.0905808215882224,0.0931684490277827,0.0665605006665111,0.1035903416119427,0.1485972133538119,0.1742414935651783,0.1742414935651783,0.1742414935651783,0.1742414935651783,0.1742414935651783,0.1742414935651783,0.1742414935651783,0.1742414935651783,0.1742414935651783
GANDAK RIVER,DEVGHAT,27.71,84.43,2846800,1677.5,1677.5,1566.8333333333333,1425.9166666666667,1509.3333333333333,1421.25,1690.5833333333333,1257.6666666666667,1523.25,1591.5,1405.5,1716.8333333333333,1607.75,1942.9166666666667,1559.93,1839.5833333333333,1856.3333333333333,1306.1666666666667,1622.0833333333333,1589.5833333333333,1435.25,1444.75,1681.5,1537.8333333333333,1559.93,1559.93,1559.93,1559.93,1559.93,1560.0,1227.75,1560.5833333333333,3.238188684775828,3.238188684775828,3.0011977027250656,2.699426806152898,2.878062328014956,2.689433210524251,3.2662064439489984,2.3391219923272284,2.9078646578360985,3.054020993905055,2.655704825277569,3.322420419360135,3.0888201215405213,3.806574436155104,2.986414319477261,3.5852876758065,3.62115754583075,2.4429840040392343,3.11951473668565,3.049916481414718,2.719413997410191,2.739758102797079,3.246754623886097,2.93909464417562,2.986414319477261,2.986414319477261,2.986414319477261,2.986414319477261,2.986414319477261,2.9865642234116905,2.275055906065012,2.9878134228652717
JHIMRUK KHOLA,TIGRA GAON,28.05,82.83,2548350,14.790833333333332,14.790833333333332,14.790833333333332,14.790833333333332,14.790833333333332,14.790833333333332,14.790833333333332,14.790833333333332,14.790833333333332,14.790833333333332,14.790833333333332,47.8,23.90333333333333,39.66916666666666,28.34583333333333,23.111666666666665,34.30769230769231,22.06896551724138,26.825396825396822,26.676392572944295,25.57029177718833,32.60477453580902,31.746031746031747,29.23342175066313,29.23342175066313,29.23342175066313,29.23342175066313,29.23342175066313,29.23342175066313,29.23342175066313,29.23342175066313,29.23342175066313,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.2517890572253223,-0.3029634051265849,-0.2692011130375911,-0.2934498590022429,-0.3046587472421588,-0.2806826287626511,-0.3068916758812048,-0.2967058506392462,-0.2970249409776661,-0.2993936389942324,-0.2843294012485878,-0.2861683858607413,-0.2915491019177862,-0.2915491019177862,-0.2915491019177862,-0.2915491019177862,-0.2915491019177862,-0.2915491019177862,-0.2915491019177862,-0.2915491019177862,-0.2915491019177862
KALIGANDAKI NADI,KOTAGAON SHRINGE,27.75,84.35,2846800,586.6166666666667,586.6166666666667,586.6166666666667,510.0916666666667,555.4166666666666,468.51666666666665,610.7083333333334,406.0833333333333,515.5666666666667,483.075,368.925,554.85,420.5416666666667,523.8000000000001,384.05,448.1583333333333,522.8083333333333,316.375,400.26666666666665,497.3,440.9278985507246,361.5916666666667,444.26666666666665,504.3333333333333,504.3333333333333,504.3333333333333,504.3333333333333,504.3333333333333,504.3333333333333,504.3333333333333,504.3333333333333,504.3333333333333,0.9020786323408064,0.9020786323408064,0.9020786323408064,0.7382015097374818,0.835264307280712,0.6491692801101284,0.9536705697736946,0.5154692471640206,0.7499261388946619,0.6803457293302099,0.435895241970922,0.8340507992400906,0.5464315479063454,0.7675576968966312,0.4682851992316248,0.6055722191801577,0.7654340578255439,0.3233602169097694,0.5030129440411718,0.7108083502911023,0.5900883531580092,0.4201910202687631,0.5972382742541256,0.7258701265599911,0.7258701265599911,0.7258701265599911,0.7258701265599911,0.7258701265599911,0.7258701265599911,0.7258701265599911,0.7258701265599911,0.7258701265599911
KALIGANDAKI NADI,SETIBENI,28.01,83.6,2549350,285.2083333333333,285.2083333333333,285.2083333333333,224.10833333333332,245.225,227.00833333333333,269.2583333333333,267.7583333333333,302.21666666666664,324.7583333333333,277.6166666666667,361.875,278.2666666666667,346.1166666666666,284.2583333333333,240.4,254.46666666666667,199.1916666666667,279.325,254.36666666666667,218.88333333333333,216.0583333333333,244.86666666666667,226.475,278.2333333333333,191.95,224.33333333333331,270.55,295.8833333333333,272.89166666666665,219.60833333333332,287.4823351903436,0.2566172746755938,0.2566172746755938,0.2566172746755938,0.1257725547662422,0.1709935749858681,0.1319828606211869,0.2224605924733981,0.2192483653070474,0.2930403616007148,0.3413129976283738,0.2403598360725634,0.4207977742890738,0.241751801177982,0.3870515433359118,0.254582864136905,0.1606609109341067,0.1907844634718843,0.0724138923918612,0.2440182059009072,0.1905703149941276,0.114583296803454,0.1085336023068268,0.1702262096072399,0.1308407354064844,0.2416804183520631,0.0569059734609793,0.1262543888411948,0.2252266769777556,0.2794776246761229,0.2302413204985587,0.1161358732671901,0.2614870150365406
KARNALI RIVER,ASARA GHAT,28.95,81.44,2548450,601.1666666666666,556.0833333333334,479.9166666666667,343.8333333333333,403.89166666666665,443.85833333333335,466.4166666666667,551.9166666666666,478.5833333333333,577.2583333333333,458.8333333333333,652.4166666666666,419.4166666666667,635.1083333333333,439.31666666666666,490.5833333333333,555.6666666666666,432.0,569.3000000000001,512.3333333333334,550.1666666666666,529.0,443.5833333333333,468.4166666666667,504.5271604938271,504.5271604938271,504.5271604938271,504.5271604938271,504.5271604938271,529.8333333333334,597.8333333333334,435.5,0.9332372358544082,0.83669196379909,0.6735822065743937,0.3821618197604668,0.5107758263598526,0.596363834636619,0.6446721620772374,0.8277691105592271,0.6707268935376375,0.8820379039640741,0.6284325691806868,1.0429883307047236,0.5440223775315823,1.0059227983463324,0.5866379246051682,0.6964247108684432,0.8357996784751037,0.5709693943159687,0.8649952542759357,0.7430020047805281,0.8240215121984846,0.7786934177399804,0.595774926322788,0.6489551316323717,0.7262852044736677,0.7262852044736677,0.7262852044736677,0.7262852044736677,0.7262852044736677,0.7804779883879528,0.9260989532625178,0.5784645910374536
